GeneID	TranscriptID	Sample.Cleavage	Sample.Brown	Sample.Cloud	Sample.Spot	Sample.Late.spot	Sample.Ring	Sample.Late.ring	Sample.Free.swimming.larvae
LOC109585269	XR_002186406.1	14.607	6.516	12.879	10.012	6.039	7.07	14.897	14.917
LOC109586398	XR_002187011.1	3.698	1.551	0.279	0.788	0.902	0.58	0	0.303
LOC109584579	XR_002186074.1	8.33	2.122	0.399	0.633	1.53	0.426	0.33	1.313
LOC109586211	XR_002186874.1	1.723	0	0.448	0	0	0	0	0
LOC109588325	XR_002188081.1	0	0	0	0.135	0	0.353	0	0
LOC109589703	XR_002188881.1	4.974	2.327	2.056	2.225	1.109	0.563	1.395	3.886
LOC109583460	XR_002185533.1	0	0	0	0	0	0.321	0	0
LOC109589833	XR_002188961.1	0	0	0	0	0.012	0	0	0.104
LOC109584175	XR_002185895.1	1.385	1.725	0	6.289	5.176	2.092	5.109	0.805
LOC109582456	XR_002185095.1	0.867	0.136	0.337	0.504	0.218	0.039	0.568	0.568
LOC109589551	XR_002188771.1	0	2.036	0.549	0	1.48	2.514	0.536	0.955
LOC109585761	XR_002186644.1	0	0	0.138	0.085	0	0.292	0.817	0.26
LOC109582899	XR_002185264.1	7.014	8.796	8.121	7.264	9.028	6.309	6.567	11.329
LOC109586042	XR_002186784.1	7.787	34.997	23.904	11.566	9.094	9.905	5.174	13.792
LOC109584873	XR_002186208.1	4.614	0.173	0.658	1.564	0.733	0.104	0.276	0.155
LOC109581865	XR_002184801.1	0	0	0	0	0	0	0.144	0
LOC109592611	XR_002190445.1	0.176	0.874	0.301	0.189	0.465	1.614	0.432	1.762
LOC109588454	XR_002188168.1	6.021	31.749	14.783	1.669	9.57	8.287	10.013	8.396
LOC109585422	XR_002186487.1	10.869	3.396	1.608	0.248	0.359	0.486	0.198	1.22
LOC109590848	XR_002189531.1	2.576	0.387	0.442	0.759	0.237	0.926	1.106	1.919
LOC109586120	XR_002186836.1	1.128	0.398	0.179	0.299	0.538	0.286	0.335	0.494
LOC109591816	XR_002190015.1	3.456	12.312	19.303	18.357	10.784	16.482	6.248	3.135
LOC109586308	XR_002186927.1	4.655	1.906	1.251	1.484	0.413	0.056	0.624	0.733
LOC109593223	XR_002190815.1	3.654	3.642	0.409	1.297	1.551	0.324	2.249	1.552
LOC109584428	XR_002186036.1	1.074	0	0	0	0	0	0	0.442
LOC109593262	XR_002190844.1	3.18	0.709	0.701	0	0.266	0.398	1.034	0.68
LOC109584121	XR_002185851.1	9.996	15.715	17.63	8.736	9.171	13.372	18.849	13.295
LOC109591855	XR_002190044.1	2.113	0.396	1.552	0.683	1.971	2.375	8.545	5.94
LOC109588963	XR_002188449.1	4.392	0.25	0.141	0.061	0.75	0.074	0.085	0.839
LOC109582348	XR_002185051.1	0.352	0.65	0.929	1.304	0.58	0.245	0.601	0.734
LOC109587676	XR_002187742.1	11.247	6.233	1.681	1.777	3.895	1.012	2.792	6.726
LOC109581691	XR_002184732.1	19.92	33.284	22.451	35.853	24.4	9.575	25.303	73.455
LOC109587566	XR_002187682.1	5.723	1.433	2.309	0.409	10.915	21.424	7.991	3.342
LOC109589630	XR_002188819.1	0	0	0.824	0.317	0	0	0	0.315
LOC109583977	XR_002185797.1	81.171	58.012	17.123	17.19	17.948	23.16	20.237	33.946
LOC109588806	XR_002188367.1	0.978	3.059	2.545	1.714	0.483	1.346	0.886	1.797
