GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0032922	FBtr0301238	17.02	20.672	23.447	18.139	18.488	16.389	11.141	4.455	4.182	6.062	6.726	8.957
FBgn0259163	FBtr0299606	0.061	0	0	0	0.033	0	0	0.027	0	0	0	0.072
FBgn0082928	FBtr0113495	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0038627	FBtr0290211	0.09	0	0	0.191	0.632	0.365	0	0	0	0	0.659	0
FBgn0039936	FBtr0300884	31.288	31.509	42.54	10.868	11.371	7.697	9.286	11.37	9.963	16.43	8.826	10.226
FBgn0261952	FBtr0300579	10.455	10.62	226.088	96.584	36.66	19.633	11.925	2.269	0.537	0.914	0.093	0.28
FBgn0053181	FBtr0113455	0.218	0.064	0.102	0.054	0.058	0	0.135	0.176	0.232	0.197	0.536	0.786
FBgn0042104	FBtr0273255	0.376	0.104	0.083	0.245	0.417	0.69	1.382	3.61	1.472	1.203	1.462	1.441
FBgn0029955	FBtr0300836	0.007	0.005	0.007	0.003	0.004	0.002	0.002	0.008	0.013	0.032	0.08	0.166
FBgn0036518	FBtr0290065	1.857	1.605	1.928	7.164	8.54	6.165	5.526	4.867	3.931	4.546	4.084	6.014
FBgn0023529	FBtr0300792	88.854	84.89	40.253	42.376	45.098	64.189	84.405	93.016	92.508	101.156	75.173	80.52
FBgn0086075	FBtr0114351	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0262514	FBtr0290022	0.478	0.092	0.495	2.383	2.554	1.953	1.891	1.246	0.825	0.739	0.287	0.126
FBgn0037655	FBtr0300748	67.434	78.589	66.912	11.936	2.78	6.113	2.609	5.579	4.973	5.075	8.592	14.204
FBgn0039955	FBtr0113991	2.722	3.082	1.272	2.246	2.568	3.775	4.053	4.546	7.339	6.282	9.028	10.228
FBgn0035815	FBtr0301205	0.2	0	0.091	0	0.005	0.078	0.042	0	0.017	0.034	0.382	0.641
FBgn0265574	FBtr0300727	38.141	46.171	57.077	49.798	43.947	34.943	25.842	21.969	19.743	17.523	14.694	15.48
FBgn0040020	FBtr0113740	241.944	240.884	271.283	137.989	99.29	123.96	124.587	129.028	111.095	99.321	105.842	89.863
FBgn0000541	FBtr0301349	60.858	83.743	87.634	25.561	20.506	27.145	26.466	30.619	24.227	20.979	10.921	9.032
FBgn0001297	FBtr0290076	0.172	0.076	0.072	0.054	0.089	0.122	0.216	0.211	0.129	0.234	0.214	0.455
FBgn0025936	FBtr0301285	7.536	3.311	4.45	1.724	0.226	0.011	2.607	9.319	4.418	1.533	2.074	0
FBgn0035870	FBtr0300280	0.149	0.201	0.351	0.503	0.445	0.245	0.233	0.281	0.273	0.27	0.218	0.2
FBgn0259918	FBtr0300200	0	0	0	0	0.061	0.064	0.061	0.023	0.019	0.083	0.051	0.199
FBgn0051145	FBtr0290057	0.031	0	0	0	0	0.028	0.013	0.02	0.079	0	0.014	0.095
FBgn0265140	FBtr0301498	29.212	26.794	2.411	22.321	25.259	20.062	18.446	15.783	22.572	26.759	16.691	19.639
FBgn0041248	FBtr0273435	0	0	0	0	0.019	0	0	0	0	0	0	0
FBgn0020503	FBtr0301442	4.706	3.769	2.07	3.064	3.006	4.677	6.742	5.73	3.142	2.867	1.63	1.524
FBgn0032940	FBtr0301458	41.135	39.349	46.508	27.916	29.604	24.797	29.081	32.661	36.168	39.219	20.899	19.635
FBgn0259246	FBtr0300542	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0260660	FBtr0301106	0	0	0	0	0.013	0	0	0	0	0	0	0
FBgn0259214	FBtr0300558	57.192	92.434	112.311	94.665	83.625	57.475	48.737	50.213	61.164	66.72	42.551	23.705
FBgn0040305	FBtr0113324	0	0.086	0.04	0.437	0.473	0.098	0.436	0	0	0.228	1.152	2.925
FBgn0036516	FBtr0301186	42.803	35.49	7.731	37.818	35.832	44.634	45.754	41.223	31.956	30.163	24.919	27.152
FBgn0260226	FBtr0300627	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0039315	FBtr0273361	0.055	0.018	0.036	0.016	0.035	0	0.09	0.019	0.055	0.057	0.115	0.115
FBgn0020236	FBtr0300598	37.731	50.769	10.646	13.753	20.383	18.479	21.747	26.225	25.095	30.883	23.219	38.224
FBgn0039466	FBtr0301134	0.572	0.216	0.008	0	0.155	0.001	0	0.541	0.208	0.715	1.816	2.87
FBgn0052383	FBtr0300363	0	0	0	0.027	0	0.028	0	0.053	0.026	0	0.026	0.027
FBgn0036195	FBtr0301326	0.003	0.002	0.006	0.015	0.018	0.031	0.025	0.008	0.008	0.004	0.1	0.517
FBgn0287478	FBtr0299845	0	0	0	0.001	0.081	0.234	0.141	0.219	0.204	0.005	0.279	0
FBgn0264493	FBtr0301633	433.888	439.649	121.47	45.597	44.214	53.794	61.039	58.553	50.793	46.995	31.018	43.132
FBgn0085209	FBtr0300048	0	0.116	0.223	0.098	0.823	0.112	0.199	0	0.384	0.344	0.371	0.208
FBgn0036796	FBtr0300052	0.107	0.203	0.313	0.096	0.093	0.04	0.013	0	0.014	0.048	0.026	0.014
FBgn0004587	FBtr0300586	0	0.12	0	0	0	0	0	0	0	0	0	0
FBgn0259748	FBtr0300506	0.044	0.045	0.045	0.084	0.077	0	0.078	0	0.177	0	0.137	0.414
FBgn0035917	FBtr0301158	0	0	0	0	0.13	0	0	0	0	0	0	0.138
FBgn0028743	FBtr0301142	6.708	8.688	11.917	5.432	2.639	1.536	1.182	1.393	0.892	0.642	0.765	1.564
FBgn0260767	FBtr0301269	1.359	1.46	1.244	1.863	1.306	0.891	0.977	0.964	0.94	1.209	3.716	7.104
FBgn0259195	FBtr0299679	0.197	0.086	0.162	0.056	0.102	0.11	0.085	0.225	0.198	0.395	0.136	0.4
FBgn0037094	FBtr0301198	26.919	22.373	47.615	35.749	17.268	22.552	24.66	24.8	14.263	28.973	37.057	45.405
FBgn0259243	FBtr0300534	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0053243	FBtr0300092	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029837	FBtr0114466	0.116	0.072	0.089	0.108	0.015	0	0.128	0.096	0.113	0.086	0.091	0.678
FBgn0267376	FBtr0273347	1.559	0.674	1.572	0	0	0	1.267	0	0	0.92	0	1.253
FBgn0082944	FBtr0113603	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085831	FBtr0114289	0	0.357	0	0	0.301	0.658	0.387	0.333	0	0.707	0.603	0.696
FBgn0086069	FBtr0114345	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0051279	FBtr0301434	0.023	0.021	0.028	0.058	0	0.022	0	0	0	0	0	0
FBgn0265296	FBtr0299552	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0265296	FBtr0299548	0	0	0	0	0.011	0	0	0.006	0.003	0	0	0
FBgn0038976	FBtr0301486	54.538	56.326	61.205	43.696	37.83	31.212	25.923	29.729	39.096	42.707	59.792	58.474
FBgn0027657	FBtr0300895	0.176	0	0	0.294	0.283	0.142	1.291	1.183	0.79	1.173	0.659	2.135
FBgn0035452	FBtr0273204	0.271	0.147	0.447	0	0	0	0.039	0	0.083	0.065	0.098	0.274
FBgn0040296	FBtr0299779	1.517	1.153	5.167	52.975	64.028	85.039	102.051	113.142	81.918	55.629	21.943	11.964
FBgn0003256	FBtr0113703	189.618	223.213	269.525	109.082	38.513	40.762	33.727	41.264	44.485	42.726	49.693	56.989
FBgn0051342	FBtr0113404	0.131	0.121	0.354	0.711	1.187	0.914	1.456	1.05	1.008	0.961	0.955	1.416
FBgn0050403	FBtr0114523	17.437	24.655	18.096	5.026	4.225	3.695	2.721	2.978	2.87	3.408	7.139	9.714
FBgn0086604	FBtr0273284	0	0	0	0	0	0	0	0	0.009	0.012	0	0
FBgn0036318	FBtr0273241	7.423	4.141	8.18	1.519	1.338	1.938	0.348	0.021	2.095	3.753	5.102	4.622
FBgn0052425	FBtr0113436	13.79	13.746	4.339	0.937	1.14	0.565	0.686	0.574	2.259	2.726	5.324	4.196
FBgn0013812	FBtr0273236	0.051	0.02	0.037	0.078	0.141	0.134	0.415	0.343	0.494	0.56	0.312	0.395
FBgn0260431	FBtr0300855	6.158	8.607	4.863	0.751	0.808	0.789	0.897	0.945	1.548	1.745	1.946	1.641
FBgn0028577	FBtr0300419	0.639	0.468	1.164	2.489	2.662	2.605	4.431	5.58	4.434	3.822	3.274	4.305
FBgn0050021	FBtr0114570	0.808	0.261	0.944	2.017	2.031	2.173	3.27	3.718	5.623	7.103	9.813	13.745
FBgn0259174	FBtr0299642	28.201	35.18	30.917	7.494	11.292	12.365	14.072	12.167	11.406	12.159	10.626	14.738
FBgn0024807	FBtr0301294	0.339	0.09	0.409	6.303	6.638	10.172	7.823	9.053	8.191	14.409	4.972	6.338
FBgn0259176	FBtr0299658	0.023	0	0.022	0.057	0.036	0.037	0.096	0.104	0.102	0.064	0.135	0.307
FBgn0259967	FBtr0300312	0	0	0	0	0	0	0.045	0.053	0.049	0	0	0
FBgn0032156	FBtr0300867	0.122	0	0	0	0	0	0	0	0	0	0.003	0.02
FBgn0259210	FBtr0299698	0.017	0.017	0.005	0.03	0.02	0.016	0.021	0.011	0.015	0.012	0.026	0
FBgn0031887	FBtr0289952	0.171	0.112	0.188	0.057	0.068	0.044	0.083	0.146	0.118	0.169	0.356	1.036
FBgn0259243	FBtr0299891	72.105	81.1	79.858	42.856	34.716	22.068	14.783	16.199	14.363	14.408	16.437	14.649
FBgn0035922	FBtr0273328	1.431	0.657	1.482	1.501	1.435	1.185	2.165	1.98	6.845	8.997	19.256	35.515
FBgn0259236	FBtr0299851	0.22	0.111	0.001	0.093	0.193	0	0.091	0.094	0.116	0.109	0.298	0.333
FBgn0050296	FBtr0113371	0	0	0.122	0	0.126	0	0	0.129	0.07	0.062	0	0
FBgn0261526	FBtr0301519	0.501	0.514	0.149	0.237	0.495	0.503	1.269	0.357	1.082	0.833	4.426	26.963
FBgn0264273	FBtr0290009	0.044	0.03	0.084	0.169	0.062	0.03	0.239	0.036	0.221	0.668	1.173	1.887
FBgn0265998	FBtr0299742	44.344	54.24	57.617	79.506	81.368	100.476	94.65	75.899	44.101	35.346	10.986	9.859
FBgn0259221	FBtr0299758	0.623	0.19	0.134	0.42	0.461	0.648	0.375	0.422	0.567	0.687	0.866	1.959
FBgn0004101	FBtr0290089	0.466	0.302	0.323	0.314	0.304	0.344	0.711	0.647	0.972	1.19	4.848	7.891
FBgn0259170	FBtr0300511	7.547	7.223	7.159	1.865	2.828	4.359	5.287	6.693	8.886	8.327	5.107	5.389
FBgn0033356	FBtr0290279	4.605	6.35	7.196	4.885	4.111	6.768	4.707	3.331	2.963	2.325	2.066	1.345
FBgn0035720	FBtr0300937	3.835	1.325	2.625	10.107	13.297	19.011	26.91	33.854	35.509	34.871	24.995	25.007
FBgn0034420	FBtr0290313	0.461	0.572	0.348	0.272	0.301	0.161	0.394	0.555	0.967	1.187	1.708	1.465
FBgn0034618	FBtr0300395	9.564	11.929	5.638	0.77	0.966	0.812	0.756	1.343	0.671	0.744	1.409	1.921
FBgn0039528	FBtr0301390	21.411	22.749	10.363	2.206	1.036	1.975	0.291	1.277	0.067	0.001	0.414	0.88
FBgn0261373	FBtr0301037	10.607	5.661	3.246	10.354	14.403	7.151	4.062	6.065	5.522	3.329	4.265	6.581
FBgn0083009	FBtr0113572	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0001123	FBtr0301411	2.229	0.968	3.569	26.56	37.853	36.063	35.298	44.492	48.966	41.912	45.119	40.564
FBgn0033798	FBtr0300670	3.532	2.937	0.367	1.276	2.203	2.508	1.797	1.061	1.123	0.97	0.742	0.811
FBgn0034970	FBtr0290258	14.727	14.585	3.662	7.503	7.391	10.637	19.105	16.744	19.41	13.885	12.287	9.892
FBgn0083045	FBtr0113526	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031856	FBtr0290242	0.027	0.014	0.053	0.085	0.024	0.096	0.158	0.159	0.075	0.072	0.254	0.634
FBgn0051374	FBtr0300812	0	0	0.315	0.067	0	0.311	0.559	0	0	0.386	3.267	7.808
FBgn0085317	FBtr0300623	4.046	0.817	2.962	1.236	1.709	3.055	5.001	3.453	2.067	1.831	10.534	18.471
FBgn0032997	FBtr0299924	128.077	147.023	184.896	106.632	89.625	85.176	88.128	89.775	98.209	96.493	81.22	82.454
FBgn0261279	FBtr0299515	91.277	98.331	42.899	13.891	14.321	17.637	22.861	27.73	35.252	41.294	40.665	50.192
FBgn0086042	FBtr0114318	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0027608	FBtr0300910	0.001	0	0	0	0	0.076	0	0.001	0.197	0.12	0.968	0.532
FBgn0000412	FBtr0301524	38.907	13.956	15.066	3.402	8.101	0.464	0.849	0.012	0.001	0	15.088	38.287
FBgn0051627	FBtr0300424	0.381	0.148	0.306	1.042	0.644	0.763	0.789	1.036	1.303	1.104	0.928	1.531
FBgn0051115	FBtr0290053	0.419	0.749	0.442	1.318	0.896	1.271	1.802	2.206	1.721	0.88	0.832	1.12
FBgn0051659	FBtr0301010	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0035049	FBtr0273263	0.285	0	0.08	0	0.113	0	0.028	0.024	0.041	0.162	0.539	0.794
FBgn0037443	FBtr0300261	15.926	29.971	27.481	17.153	18.968	17.098	17.374	13.668	13.997	13.102	13.115	19.193
FBgn0083032	FBtr0113549	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0040022	FBtr0113871	7.113	7.651	9.302	6.634	7.907	6.628	8.752	9.086	9.233	6.774	4.13	1.939
FBgn0063368	FBtr0113777	0	0	0.164	0	0	0	0	0	0	0	0	0
FBgn0037429	FBtr0301493	15.2	4.414	10.829	1.032	3.144	8.926	4.742	2.124	2.697	2.573	11.646	51.144
FBgn0037464	FBtr0300905	0.011	0.011	0.011	0	0.009	0.021	0.01	0.01	0.061	0.035	0.04	0.08
FBgn0283657	FBtr0299580	11.236	13.72	16.593	8.748	9.469	12.607	14.01	13.081	11.003	13.409	8.224	7.969
FBgn0039075	FBtr0301085	0.07	0	0.009	0.245	0.235	0.055	0.263	0.118	1.383	1.724	2.349	4.292
FBgn0004133	FBtr0300368	0.716	0.183	0.197	0.202	0.238	0.325	0.179	0	0	0	3.243	6.995
FBgn0024807	FBtr0300374	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085190	FBtr0301005	0.119	0	0	0	0	0.107	0.096	0	0	0.066	0.05	0.099
FBgn0085414	FBtr0300553	0.019	0	0.017	0	0.014	0	0	0	0.062	0.045	0.239	0.32
FBgn0259734	FBtr0300000	52.217	45.32	8.785	3.546	3.406	3.194	3.377	7.443	11.712	9.733	5.051	3.438
FBgn0259745	FBtr0300080	216.393	267.085	308.9	110.628	16.052	11.139	5.597	10.287	9.091	7.248	3.931	2.422
FBgn0038165	FBtr0301654	0.112	0.037	0.057	0.11	0.078	0.096	0.081	0.15	0.055	0.063	0.233	0.088
FBgn0086041	FBtr0114317	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0085412	FBtr0290011	0	0	0	0.047	0.024	0.04	0.055	0.034	0.024	0.06	0.02	0
FBgn0011754	FBtr0301501	14.449	21.095	3.529	19.306	21.973	21.599	22.049	20.694	14.854	13.426	9.312	8.648
FBgn0259682	FBtr0299944	0.087	0.14	0.166	0	0.174	0.098	0.046	0	0.107	0	0	0.007
FBgn0053233	FBtr0301038	0	0	0	0.05	0	0.021	0.021	0	0	0	0	0.023
FBgn0003429	FBtr0301581	0	0	0.088	0	0	0	0	0.007	0	0	0.012	0
FBgn0259245	FBtr0299901	0.177	0.072	0.097	0.031	0.086	0.038	0.131	0.119	0.135	0.197	0.236	0.783
FBgn0003345	FBtr0301544	0.639	1.111	0.044	0	0	0.003	0	0	0.159	0	0	0
FBgn0082935	FBtr0113531	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0037244	FBtr0290222	69.43	79.301	34.988	38.493	41.379	49.339	49.917	45.617	42.526	39.111	27.591	24.196
FBgn0083034	FBtr0113546	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0260234	FBtr0300643	0.082	0.028	0.052	0	0.038	0.039	0.011	0.042	0.053	0.029	0.162	0.536
FBgn0284257	FBtr0113360	64.18	62.577	18.28	12.978	13.133	21.039	28.539	35.051	32.516	29.555	21.432	15.725
FBgn0083003	FBtr0113529	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0030707	FBtr0301233	0	0	0	0.022	0.01	0.011	0.025	0.024	0.011	0.014	0.034	0.043
FBgn0020381	FBtr0114561	1.04	0	1.155	1.902	1.203	3.803	5.589	5.208	8.521	9.097	12.662	19.006
FBgn0032914	FBtr0300444	1.742	0.126	0.974	0.104	0	0.344	0.203	0	0.242	0.408	1.299	1.48
FBgn0037655	FBtr0300743	0.547	0	0.645	0.852	0	0	0	0	0.256	0	0	2.038
FBgn0086054	FBtr0114330	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0010548	FBtr0300481	0	0	0	0	0.084	0	0	0	0.715	0.103	0.713	0.222
FBgn0035751	FBtr0273403	0.099	0.06	0.17	3.382	3.326	4.65	3.503	1.801	1.271	1.357	2.468	4.584
FBgn0031171	FBtr0300938	0.658	0.622	0.468	0.55	0.512	0.535	0.282	0.134	0.085	0.136	0.087	0.082
FBgn0026147	FBtr0300401	29.854	28.145	6.559	6.179	7.643	13.277	14.979	15.876	17.214	15.617	9.827	10.7
FBgn0085271	FBtr0300028	1.647	0	1.868	0	0	0	4.148	0	0	0	0	0
FBgn0020277	FBtr0301489	0.027	0	0.028	0.174	0.194	0.105	0.107	0.216	0.184	0.137	0.112	0.352
FBgn0285926	FBtr0301409	0.14	0.118	0.036	3.926	3.889	6.236	8.607	12.847	10.284	9.763	4.062	1.497
FBgn0050361	FBtr0273327	0.098	0.055	0.046	0.012	0.023	0.037	0.044	0	0.013	0.041	0.08	0.297
FBgn0260390	FBtr0300661	17.088	15.476	16.628	9.299	16.962	11.076	8.227	8.173	7.239	7.411	7.678	9.615
FBgn0036423	FBtr0273239	17.43	21.615	23.89	13.905	12.202	12.415	8.063	6.312	4.474	4.085	2.987	3.642
FBgn0052581	FBtr0113439	0.04	0.043	0	0.036	0	0	0	0	0	0	0.038	0
FBgn0259221	FBtr0299757	0.004	0.006	0.028	0.018	0.049	0.027	0.053	0.006	0.012	0.025	0.038	0.104
FBgn0039136	FBtr0301165	2.791	3.403	9.202	8.023	8.363	6.824	7.591	11.153	8.054	9.669	7.538	6.643
FBgn0259223	FBtr0299776	0	0	0	0	0.088	0.136	0.059	0	0	0.188	0.107	0.118
FBgn0013813	FBtr0301302	0.001	0	0	0.002	0.001	0	0	0.001	0	0.004	0.004	0.012
FBgn0005696	FBtr0114543	99.37	75.714	10.167	80.275	87.965	80.08	50.726	30.79	19.322	16.424	6.079	6.339
FBgn0031974	FBtr0300761	6.82	6.191	7.672	5.003	4.7	4.001	5.835	7.386	19.037	26.605	30.466	28.923
FBgn0030832	FBtr0273221	0	0.085	0.04	0	0	0	0.036	0.03	0	0	0.121	0.18
FBgn0052068	FBtr0113421	103.014	101.48	83.556	81.64	79.735	68.941	46.893	25.519	24.469	21.422	22.598	30.554
FBgn0032156	FBtr0300868	0.372	0	0.21	0.288	0.433	0.161	0.571	0.192	0.441	1.92	0.793	1.524
FBgn0259209	FBtr0299697	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0034990	FBtr0300874	0.01	0	0.005	0.028	0	0.014	0.029	0.011	0.018	0.026	0.025	0.05
FBgn0086049	FBtr0114325	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259192	FBtr0299676	0.716	0.257	0.944	0.32	0.597	0.502	1.167	1.012	1.806	1.494	3.002	15.326
FBgn0260764	FBtr0301266	0.368	0.074	0	0.38	0.373	0.325	0.624	0.954	1.05	0.877	1.706	2.191
FBgn0259168	FBtr0300509	50.857	66.107	49.79	10.683	4.579	5.814	4.257	5.403	6.661	8.309	5.469	3.401
FBgn0259176	FBtr0299657	22.234	17.693	21.729	53.892	30.751	22.738	21.08	19.49	16.05	14.838	16.539	21.054
FBgn0261461	FBtr0299622	21.035	22.049	20.398	2.683	1.347	1.371	0.623	1.306	1.677	1.041	2.173	4.451
FBgn0265296	FBtr0299547	0	0	0	0.024	0	0.031	0	0	0.009	0.019	0	0
FBgn0083053	FBtr0113514	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031042	FBtr0290086	0.408	0.241	0.31	1.159	1.212	0.748	0.879	0.413	0.48	0.326	0.615	0.516
FBgn0260771	FBtr0301275	81.35	89.398	25.577	11.433	11.457	18.704	23.121	25.209	22.015	18.274	11.613	10.153
FBgn0003093	FBtr0301516	7.055	9.493	2.452	0.273	0.064	0.169	0.1	0.106	0.457	0.296	0.43	0.169
FBgn0000289	FBtr0290034	5.691	11.367	9.857	8.235	4.26	3.27	2.731	1.17	0.155	0	0	0
FBgn0011224	FBtr0300270	6.787	5.814	12.028	3.971	2.041	1.599	0.844	0.168	0	1.121	0.435	1.24
FBgn0259246	FBtr0299916	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259216	FBtr0299722	0.04	0.029	0.074	0.765	0.746	1.077	0.89	0.493	0.31	0.136	0.149	0.186
FBgn0028577	FBtr0300416	0.45	0.247	1.08	2.295	2.439	4.346	4.282	4.242	4.181	3.233	2.363	2.368
FBgn0035921	FBtr0273348	0.435	0.216	0.495	0.081	0.157	0.385	0.626	0.345	0.697	0.826	5.57	12.032
FBgn0260722	FBtr0301176	6.225	4.168	7.674	9.73	14.212	17.528	25.613	20.447	36.571	37.103	25.53	19.359
FBgn0035099	FBtr0273352	0.044	0.057	0.119	0.61	0.597	2.614	5.15	5.094	4.537	2.849	0.744	0.548
FBgn0037094	FBtr0301197	2.174	2.632	5	8.205	11.607	9.396	9.768	9.046	7.217	8.845	5.285	7.42
FBgn0033886	FBtr0114494	17.174	11.876	7.017	6.409	7.966	7.288	8.952	7.482	7.002	6.068	5.298	5.842
FBgn0259221	FBtr0299765	0.048	0.148	0.361	0.104	0.141	0.073	0.143	0.024	0.099	0.155	0.151	0.252
FBgn0035917	FBtr0301157	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026873	FBtr0114454	0.232	0	0.168	2.661	1.984	1.719	2.646	1.77	1.177	0.6	0.706	1.012
FBgn0052192	FBtr0300047	0	0	0	0	0.044	0.069	0.121	0.044	0.127	0.063	0.091	0.09
FBgn0036757	FBtr0273392	0	0	0	0	0	0	0.011	0.012	0	0.011	0.017	0.033
FBgn0039942	FBtr0113727	98.376	104.942	73.659	10.359	6.001	6.587	5.544	7.243	7.263	4.767	3.189	2.792
FBgn0053770	FBtr0290125	0	0	0.052	0	0.105	0	0.163	0.114	0.052	0.057	0	0
FBgn0037375	FBtr0300740	0	0	0	0.03	0	0.14	0.066	0	0.001	0	0.076	0.293
FBgn0029587	FBtr0273400	0.014	0	0	0.012	0	0	0.01	0	0.196	0.051	0.66	0.706
FBgn0086057	FBtr0114333	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0029761	FBtr0300467	0.007	0.007	0.002	0	0	0	0	0	0	0	0.005	0
FBgn0050286	FBtr0300951	0	0	0.028	0.056	0.181	0.112	0.323	0.476	0.167	0.099	0.073	0.178
FBgn0039381	FBtr0300819	0	0	0.675	0.651	0.994	1.912	3.192	3.005	3.041	3.488	2.71	2.004
FBgn0035581	FBtr0289983	0	0	0	0.007	0	0.012	0.013	0	0.009	0.013	0	0
FBgn0250867	FBtr0290305	3.101	2.804	2.706	6.912	7.085	10.529	11.335	12.367	11.989	10.807	5.506	6.73
FBgn0027054	FBtr0301230	58.257	71.649	89.741	72.047	58.112	47.412	33.421	23.24	27.269	22.45	19.726	20.567
FBgn0052944	FBtr0290249	0.616	0.349	0.538	0.97	0.758	1.122	1.284	1.057	2.751	2.608	3.307	7.763
FBgn0035504	FBtr0301645	1.056	0.267	0.913	0.619	0.666	0.534	1.085	0.583	1.157	1.964	6.961	14.602
FBgn0083036	FBtr0113542	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0082936	FBtr0113558	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0033994	FBtr0300324	41.97	29.343	2.179	19.656	24.719	23.784	17.651	13.382	7.945	6.96	3.536	3.79
FBgn0082983	FBtr0113598	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0259845	FBtr0300136	0	0	0.033	0.179	0.247	0.258	0.092	0.392	0.379	0.762	0.311	0.785
FBgn0259842	FBtr0300141	0	0	0.007	0	0	0.021	0.043	0	0.008	0.022	0.018	0.029
FBgn0260867	FBtr0301567	0	0	0	0	0	0	0.101	0	0	0	0	0
FBgn0031968	FBtr0300184	0.315	0.284	0.264	0	0	0.532	0	0	0.189	0.299	0.408	0.268
FBgn0259714	FBtr0299967	0.195	0.221	0.369	1.92	2.335	2.299	2.11	1.297	1.939	3.501	4.178	4.502
FBgn0259729	FBtr0299995	0	0	0	0.095	0	0.02	0	0	0	0	0.013	0
FBgn0031942	FBtr0290272	0.63	0.262	0.077	0.071	0	0.04	0.351	0.12	0	0.088	0.399	0.863
FBgn0004237	FBtr0300590	206.605	210.166	283.251	305.027	265.516	182.665	124.608	127.696	97.26	68.123	35.594	22.466
FBgn0287209	FBtr0113692	0.346	0.23	0	0.284	0.446	0.343	0	0	0.219	1.225	6.218	6.588
FBgn0003392	FBtr0301595	14.832	13.235	26.771	18.196	12.915	6.511	2.351	3.867	3.371	1.72	4.241	8.008
FBgn0259735	FBtr0300003	4.917	5.604	0.902	0.149	0.134	0.04	0.119	0.098	0.13	0.097	0.113	0.074
FBgn0032166	FBtr0300550	26.96	40.439	36.912	15.852	13.767	19.39	24.378	33.305	46.202	42.883	40.826	42.907
FBgn0259745	FBtr0300083	33.511	38.558	65.807	135.179	123.738	59.167	50.801	37.2	18.909	16.78	6.634	3.07
FBgn0259702	FBtr0299955	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0261238	FBtr0300495	0	0	0.113	0	0.13	0.031	0.128	0.56	0	0.074	0	0.17
FBgn0030505	FBtr0301450	17.025	22.634	23.578	4.166	0.35	0.004	0	0	0	0	0	0
FBgn0034622	FBtr0300455	0.091	0.023	0.078	0.054	0.143	0.118	0.146	0.145	0.165	0.342	0.989	1.602
FBgn0063670	FBtr0113841	1.078	0.612	0.938	1.731	2.167	2.746	2.675	3.462	4.48	3.32	3.43	2.083
FBgn0082979	FBtr0113579	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0283657	FBtr0299583	6.901	14.922	19.258	26.31	15.833	12.359	13.728	13.147	8.391	5.884	2.439	3.718
FBgn0037831	FBtr0301311	0.052	0	0	0.078	0.141	0.633	0.23	0.034	1.04	2.282	1.705	2.043
FBgn0287186	FBtr0113752	0.36	0.091	0	0.305	0.401	0.765	0.201	1.516	1.815	2.924	1.995	1.148
FBgn0287182	FBtr0113748	103.172	147.005	159.555	50.958	31.066	28.645	27.169	37.452	42.109	49.481	45.274	44.196
FBgn0028856	FBtr0300064	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0037837	FBtr0300078	0	0	0	0	0	0	0	0.039	0.025	0.082	0.022	0
FBgn0260719	FBtr0301172	0.003	0.045	0.102	0.018	0.099	0.014	0.082	0.123	0	0.099	0.072	0
FBgn0259975	FBtr0300319	0	0	0	0	0	0	0	0	0.096	0	0	0.093
FBgn0034568	FBtr0273396	0	0	0.039	0.599	1.072	0.789	0.805	0.567	0.37	0.16	0.156	0.028
FBgn0259175	FBtr0299649	0.265	0	0.072	0.344	0.249	0.134	0.894	0.296	0.966	2.642	9.11	8.584
