GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0052085	FBtr0076133	0.419	0.097	0.28	0.231	0.18	0.197	0.408	0.223	0.64	1.996	4.569	7.286
FBgn0052195	FBtr0075125	0.163	0.121	0.207	0.83	1.09	1.317	1.383	1.272	1.28	1.299	0.478	0.681
FBgn0002562	FBtr0073651	0	0	0	0.008	0	0.008	0	0	0	0	0	0
FBgn0035857	FBtr0076698	0	0	0.014	0.048	0	0	0	0	0	0.016	0	0.012
FBgn0259789	FBtr0074807	76.426	99.289	91.799	48.486	44.408	45.407	41.951	37.871	18.648	14.587	3.375	3.71
FBgn0036678	FBtr0075305	0.073	0.044	0.128	0.23	0.309	0.552	1.088	1.191	2.968	4.079	7.903	8.948
FBgn0036706	FBtr0075249	0	0	0	0.029	0	0	0.035	0	0.029	0	0	0.026
FBgn0023479	FBtr0076527	0.073	0.2	0.298	0.164	0.086	0	0	0.083	0.035	0.061	0.118	0
FBgn0030701	FBtr0074115	0	0.031	0.098	0	0	0.003	0	0	0	0	3.716	14.177
FBgn0036759	FBtr0075162	1.225	1.405	0.473	0.437	0.217	0.096	0.252	0.196	0.043	0.017	0.489	0.488
FBgn0020389	FBtr0074887	5.779	0.082	0.246	0.502	3.514	1.646	0.129	3.791	0.687	1.219	1.626	7.086
FBgn0035676	FBtr0077049	0.034	0.057	0.098	0.137	0.383	0.087	0.083	0.273	0.299	0.875	1.165	2.075
FBgn0031047	FBtr0074744	90.24	91.512	79.74	80.426	75.514	91.525	104.101	92.556	59.899	50.375	32.579	39.547
FBgn0024238	FBtr0074443	2.378	0.845	0.883	2.21	2.426	4.072	7.217	11.864	10.338	9.964	16.557	32.021
FBgn0002723	FBtr0073521	12.021	12.894	6.091	1.978	2.145	2.791	3.456	3.315	2.591	2.092	1.301	1.41
FBgn0041248	FBtr0077702	0	0	0	0	0	0	0	0	0	0	0.018	0
FBgn0030985	FBtr0074701	0.191	0.208	0.225	0.239	0.265	0.181	0.363	0.263	0.88	1.212	4.887	6.732
FBgn0264978	FBtr0077782	31.536	25.066	5.694	13.433	14.509	15.774	20.854	26.712	33.528	34.117	39.513	44.264
FBgn0002121	FBtr0078171	7.948	7.319	7.696	28.26	29.937	28.903	39.25	35.424	32.343	23.112	15.135	18.024
FBgn0031389	FBtr0077854	0.055	0.027	0	0.083	0.222	0.229	0.566	0.575	0.084	0.097	0.004	0.072
FBgn0052548	FBtr0074569	0.085	0	0	0.087	0	0	0.144	0.013	0.064	0	0.083	0
